title,majors,num_majors
Transdiagnostic Internet-delivered intervention for children...,Psychology,1
How did birds evolve? The answer is wilder than anyone thoug...,Physics,1
Companionship in code: AI’s role in the future of human conn...,"Psychology, Computer Science",2
Programmed ‘DNA splicing’ removes transposons from genes - N...,Biology,1
Exploring the multifaceted impacts of artificial intelligenc...,"Cognitive Science, Neuroscience",2
Bridging the fuel tax revenue gap in the move to electric mo...,"Environmental Science, Civil Engineering",2
ICT investment and carbon emission efficiency in regional po...,"Environmental Science, Sociology",2
Why cancer can come back years later — and how to stop it...,Public Health,1
Earth observation as enabler for implementing the EU regulat...,Environmental Science,1
Putting children in slums at the heart of urban futures - Na...,Sociology,1
Plug-and-play plasma: decentralised water decontamination fo...,Civil Engineering,1
Increased deciduous tree dominance reduces wildfire carbon l...,Environmental Science,1
AI tools boost individual scientists but could limit researc...,"Neuroscience, Biology",2
"Flexible ferroelectric biomaterials for skin, neural, and mu...","Biomedical Engineering, Materials Science",2
Stretchy organic LED devices with an ‘exciplex’ state are hi...,"Chemistry, Materials Science",2
Beyond the metropolis myth - Nature Cities...,"Sociology, Civil Engineering",2
The Absence of the Rational Economic Man: A Textual Analysis...,"Sociology, Marketing",2
Variations in the technical performance of elite female voll...,"Mathematics, Applied Mathematics",2
Real-time tracking of the intramolecular vibrational dynamic...,"Chemistry, Mechanical Engineering",2
Toward an understanding of the intrinsic kidney response to ...,Biomedical Engineering,1
Correlation analysis of the leaf color presentation of three...,NONE,0
Enriching African genome representation through the AGenDA p...,Biology,1
Cilium-by-cilium: unveiling hidden proteomic diversity and t...,Biology,1
Sesamin alleviates androgenetic alopecia by targeting the AR...,NONE,0
The link between the gender role self-concept and psychobiol...,Psychology,1
Aligning climate-smart marine spatial planning and ecoscape ...,Environmental Science,1
Measuring context sensitivity in artificial intelligence con...,"Cognitive Science, Artificial Intelligence",2
Consumers of nitrite help nitrite accumulate in anoxic ocean...,Environmental Science,1
Data issues hinder further success in China’s biodiversity c...,Environmental Science,1
A qualitative study exploring Malaysian women’s preferences ...,"Public Health, Psychology",2
Advances in battery technologies for smart grids in 2025 - N...,"Electrical Engineering, Environmental Science",2
Structure-based engineering of bicarbonate transport activit...,"Environmental Science, Chemistry",2
Governance of urban green spaces as nature-based solutions i...,"Civil Engineering, Sociology",2
Leveraging LLM-based agents for social science research: ins...,"Sociology, Environmental Science",2
‘Shattered’: US scientists speak out about how Trump policie...,"Political Science, Sociology",2
Lessons from Rwanda’s response to the Marburg virus outbreak...,"Public Health, Biology",2
Cell signaling and transcriptional regulation of osteoclast ...,Biology,1
Oldest known poison arrows show Stone Age humans’ technologi...,"Neuroscience, Cognitive Science",2
Identifying ecological restoration zones based on ecological...,"Environmental Science, Civil Engineering",2
Microbial ethanol production in patients with auto-brewery s...,"Mechanical Engineering, Biology",2
Hydroelastic waves induced by initial disturbances in ice-co...,Environmental Science,1
Real-time prediction of influenza and respiratory syncytial ...,"Public Health, Data Science",2
Scaling laws reveal the extent of Earth’s drying headwaters ...,Environmental Science,1
Presence of primordial Mg can explain the seismic low-veloci...,"Civil Engineering, Environmental Science",2
MASLD as a complication of obesity must include liver risk s...,Public Health,1
Global firms choose to invest in well-connected airport citi...,"Business, Civil Engineering",2
Regulation of hydrothermal kinetics unlocks record efficienc...,"Environmental Science, Electrical Engineering",2
Combat the human-made causes of Spain’s wildfires...,"Environmental Science, Public Health",2
Let’s talk about language—and its role for replicability - H...,"Psychology, Marketing",2
Identification and verification of SPP1 in anoikis as a prog...,Biology,1
Connecting screens: the effect of online playful interaction...,Psychology,1
Towards global healthy longevity: report from the 1st World ...,Public Health,1
Firefighting robots should be made responsibly - Nature Mach...,"Artificial Intelligence, Cognitive Science",2
Agronomic management drives the wheat yield plateau in high-...,Environmental Science,1
A rat model of Immunologic and hypertensive kidney injury - ...,NONE,0
Distinct sympathetic projections to brown fat regulate therm...,NONE,0
The ritual stance affects perceptions of effort - Humanities...,"Sociology, Cognitive Science",2
Spreading inflammation via the skin–joint axis - Nature Revi...,"Biomedical Engineering, Public Health",2
Och AI the noo from SIU - Nature Reviews Urology...,Public Health,1
The theory of planned behavior partly explains why adults wi...,Psychology,1
ALS: a field in motion - Scientific Reports...,Neuroscience,1
The impact of agricultural green development on common prosp...,"Sociology, Business",2
Artificial intelligence and precision medicine - Scientific ...,"Biology, Biomedical Engineering",2
Urinary complement C3 fragment levels and their clinical rel...,NONE,0
When better data meets better design: How EHR data usability...,"Cognitive Science, Psychology",2
Cryo-electron tomography reveals coupled flavivirus replicat...,"Physics, Biology",2
Ex post impact assessment of Marwa rehabilitation on irrigat...,"Civil Engineering, Environmental Science",2
Biochemical and epigenomic dissection of TFIIE function reve...,Biology,1
Ophthalmic anaesthesia: a declining skill in anaesthetic tra...,Biomedical Engineering,1
Biomolecular condensates as electrochemical powerhouses - Na...,Chemistry,1
Intrinsically stretchable 2D MoS2 transistors - Nature Commu...,"Biomedical Engineering, Materials Science",2
α-Amylase in Aspergillus oryzae-fermented rice promotes the ...,Biology,1
Metalens-style image synthesis for metalens imaging via imag...,"Biomedical Engineering, Neuroscience",2
Plasma exosomal hsa-miR-339-5p is associated with NOD-like r...,Biology,1
The 2025 Blatten disaster in the Swiss Alps followed excepti...,"Environmental Science, Civil Engineering",2
Helioseismic evidence that the solar dynamo originates near ...,Environmental Science,1
Pick a color to control TRP channels - Nature Chemical Biolo...,"Biology, Neuroscience",2
Interpretable Kolmogorov-Arnold networks for enzyme commissi...,"Applied Mathematics, Biology",2
Risk of total hip arthroplasty following lumbar fusion surge...,NONE,0
Natural source zone depletion predicts finite longevity for ...,"Civil Engineering, Environmental Science",2
Efficient chemical reprogramming of human T cells to pluripo...,"Biomedical Engineering, Biology",2
Palgrave Communications – connecting research in the humanit...,"Sociology, Political Science",2
"Distributed multitudes of bio-inspired, biodegradable Lagran...","Biomedical Engineering, Civil Engineering",2
Satellite swarms set to photobomb more than 95% of some tele...,Physics,1
Standardized protocols for analyzing lipocartilage and lipoc...,"Biomedical Engineering, Biology",2
The role of thermostats and human behaviour in residential t...,"Environmental Science, Sociology",2
Instant gratification and long-term sustainability: a gender...,"Sociology, Civil Engineering",2
Early-onset Palmijihwang-hwan treatment modulates phospholip...,"Public Health, Biology",2
Disappearing ‘planet’ reveals a solar system’s turbulent tim...,Environmental Science,1
Testing the simplification universal in game localization: a...,"Mathematics, Sociology",2
Argentina must finish building the CART radio telescope...,"Physics, Environmental Science",2
Gene expression imputation spatially resolves transcriptiona...,Biology,1
Double-strand break-free epigenetic programming: a safer pat...,Biology,1
Oligomers mediate the spatial transmission of Aβ peptide agg...,Chemistry,1
The role of histone demethylase PHF2 as a tumour suppressor ...,Biology,1
JHG Young Scientist Award 2025 - Journal of Human Genetics...,Biology,1
Assessment of hydrological drought vulnerability using SPI a...,"Environmental Science, Civil Engineering",2
Mesoscale moisture convergence drives stronger rainfall extr...,"Environmental Science, Civil Engineering",2
Advancing an adaptable and practical framework to address wa...,"Environmental Science, Civil Engineering",2
Successes in climate action - Nature Climate Change...,Environmental Science,1
Pattern poetry and ludic relief in Zeina Hashem Beck’s oeuvr...,"Physics, Psychology",2
"Clinical, social, and economic burdens of schizophrenia in J...",Psychology,1
Rethinking sepsis prediction in the era of large language mo...,"Public Health, Artificial Intelligence",2
How does the digital economy reshape the geographical patter...,"Sociology, Marketing",2
The effects of shoulder abduction angle and elastic band res...,NONE,0
Excluding PLND in favourable intermediate-risk prostate canc...,"Biomedical Engineering, Public Health",2
An LLM chatbot to facilitate primary-to-specialist care tran...,"Psychology, Biomedical Engineering",2
Left atrioventricular coupling in isolated pediatric mitral ...,NONE,0
Enhancing carbon sinks in China using a spatially-optimized ...,Environmental Science,1
I see Mozambique’s baboons as windows into hominid evolution...,"Cognitive Science, Environmental Science",2
Learning words in context - Nature Reviews Psychology...,"Psychology, Cognitive Science",2
Philosophical stances in information systems research: a cas...,"Marketing, Political Science",2
Cereblon induces G3BP2 neosubstrate degradation using molecu...,Biology,1
Hepatic tryptophan metabolism links chronic stress to liver ...,"Biology, Psychology",2
Beyond the Global Plastics Treaty - Nature Reviews Earth & E...,"Environmental Science, Civil Engineering",2
Management of Charles Bonnet syndrome in routine eye care se...,Physics,1
Impacts of global warming on coastal flood risk to European ...,"Environmental Science, Civil Engineering",2
Global risk pooling mitigates financial risk from drought in...,Environmental Science,1
Segmented filamentous bacteria in the gut protect against se...,Biology,1
The energy source is not the deciding factor - Nature Water...,"Environmental Science, Civil Engineering",2
High-resolution cryo-EM meets parasitology in structural mod...,Biology,1
Powerful people - Nature Climate Change...,Environmental Science,1
"Assemblable thermoelectric Lego blocks for reconfigurable, s...","Biomedical Engineering, Materials Science",2
Land use and soil drainage interactions drive macroinvertebr...,"Environmental Science, Biology",2
A cultural memory semiotics and function behavior structure ...,"Cognitive Science, Artificial Intelligence",2
Kinetics of vacancy-assisted reversible phase transition in ...,Materials Science,1
Culturally responsive assessment in mathematical word proble...,Cognitive Science,1
Mysterious ‘little red dots’ could be black holes in disguis...,"Physics, Economics",2
Pore-forming venoms as a senolytic strategy - Nature Aging...,"Cybersecurity, Finance",2
Flexible semiconductor arrays for high-fidelity neural recor...,"Neuroscience, Biomedical Engineering",2
"Ridicule, deconstruction, reflection, and identity: Christia...","Sociology, Marketing",2
The import of biological research material is a silent barri...,"Biology, Biomedical Engineering",2
Gifted dogs learn new words by overhearing humans...,"Cognitive Science, Artificial Intelligence",2
Palmitic acid-triggered B7H3 palmitoylation promotes immune ...,Biology,1
Connecting to improve drug discovery - Nature Cardiovascular...,"Chemistry, Biology",2
A systems engineering approach to enhance utilization of ren...,"Environmental Science, Electrical Engineering",2
"The river Rhine transports around 4,000 tonnes of macrolitte...","Environmental Science, Civil Engineering",2
"The polygenic, omnigenic and stratagenic models of complex d...","Biology, Public Health",2
The new vision from the National Institute of Allergy and In...,Public Health,1
Assessment of multiple outcomes of habitat models can signif...,"Environmental Science, Cognitive Science",2
Human contributions to evapotranspiration mitigate swings in...,Environmental Science,1
A green patina unlocking cities’ potential to adapt to clima...,"Environmental Science, Civil Engineering",2
Mechanical properties and energy evolution of cemented taili...,Civil Engineering,1
Data-driven classification of ordinary chondrites and astero...,"Cognitive Science, Data Science",2
The use of β-blockers after myocardial infarction: no doubts...,NONE,0
In silico design and immunoinformatics assessment of a multi...,Biology,1
On the power of simple models: when emergent properties pred...,"Psychology, Neuroscience",2
Marine darkwave as an event-based framework to assess unusua...,Environmental Science,1
Changing paradigms through practice - Nature Food...,"Marketing, Public Health",2
Presuming public support for international sanctions: the Eu...,Political Science,1
Spatiotemporal assessment of multi hazard risk using graph b...,"Data Science, Finance",2
Stopping the next flu pandemic...,Public Health,1
School-based suicide prevention using the gatekeeper program...,"Psychology, Public Health",2
"Decoding miRNA-Mediated Immunoregulation in SARS-CoV-2, HBV,...","Biology, Biomedical Engineering",2
Multi-modal ultrasound for evaluating structure and function...,"Biomedical Engineering, Neuroscience",2
Accessibility evaluation of public service facilities in aff...,Sociology,1
Behavioural choices shape US indoor temperatures more than t...,"Cognitive Science, Environmental Science",2
Standardizing the analysis and visualization of human energy...,Data Science,1
Multi-band circularly polarized patch antenna with CPW feed ...,"Materials Science, Marketing",2
3D-printed intravaginal ring for infertility treatment - Nat...,"Biomedical Engineering, Mechanical Engineering",2
Influences of spoken and signed language on numerical cognit...,"Cognitive Science, Psychology",2
Barriers and facilitators of implementing patient-reported o...,"Public Health, Psychology",2
A near-infrared Sn-Pb perovskite imager with monolithic inte...,"Materials Science, Physics",2
Symmetry in category systems across languages - Nature Commu...,"Computer Science, Cognitive Science",2
Population genomics reveals an ancient origin of heartworms ...,Biology,1
Discrepancies in Arctic-boreal lake area trends driven by se...,Environmental Science,1
Spatio-temporal metabolic alterations in cachexia - Nature M...,Neuroscience,1
Bearing the costs of a climate-safe food transition - Nature...,Environmental Science,1
Making progress on global health will need high-quality evid...,Public Health,1
Base-edited CAR7 T cells are safe and efficacious in R/R T-A...,Biology,1
The hidden cost of video-call glitches...,"Artificial Intelligence, Applied Mathematics",2
Compressive strength prediction of carbonated recycled aggre...,"Civil Engineering, Artificial Intelligence",2
Global water security threatened by rising inequality - Natu...,"Environmental Science, Civil Engineering",2
Carbon emission model and evaluation analysis of vehicle was...,"Environmental Science, Civil Engineering",2
Risk assessment of earthquake online public opinion based on...,"Cognitive Science, Psychology",2
Surface water quality prediction via an MLA-Mamba hybrid neu...,"Artificial Intelligence, Civil Engineering",2
G9a-mediated H3K9me2 orchestrates intestinal epithelial rege...,Biology,1
The hidden microbial risk in fire hydrants - Nature Water...,Civil Engineering,1
Urbanization signatures on climate and soils uncovered by cr...,"Environmental Science, Civil Engineering",2
Extraordinarily long duration of Eocene geomagnetic polarity...,Environmental Science,1
Arctic driftwood proposal for durable carbon removal - npj C...,Environmental Science,1
Clouds as the driver of variability and colour changes in br...,"Physics, Environmental Science",2
Embryo geometry sets the tempo - Nature Physics...,Physics,1
Structural equation modeling of safety integration and produ...,"Mechanical Engineering, Civil Engineering",2
The need for a representative workforce to address the US be...,Psychology,1
Isolation and characterization of lactic acid bacteria from ...,"Biology, Environmental Science",2
“On the Road” in China: the cultural dynamics and the histor...,"Political Science, Sociology",2
Inside the International Asteroid Warning Network - Nature R...,"Environmental Science, Biology",2
Genome engineering for conservation might be a game changer ...,Biology,1
Biosensors characterize the routes taken by receptors to dif...,Biomedical Engineering,1
Cost and climate impact of healthy diets worldwide - Nature ...,"Public Health, Environmental Science",2
PhD students’ taste for risk mirrors their supervisors’...,Psychology,1
Unregulated emotional risks of AI wellness apps - Nature Mac...,"Artificial Intelligence, Neuroscience",2
Cities aren’t built for women — it’s time to change that...,"Sociology, Civil Engineering",2
Ratepayer-backed bonds for utility financings - Nature Energ...,"Economics, Environmental Science",2
Fuel poverty risk at the end of life needs urgent attention ...,Environmental Science,1
"mJ-level 7-octave ultraflat white laser encompassing 200–25,...","Physics, Materials Science",2
"US funding cuts harm aspiring young scientists, too...","Sociology, Public Health",2
Marine protected areas as living labs? Lessons learned & fut...,Environmental Science,1
A therapeutic glue that autonomously targets gut bleeding in...,"Biology, Biomedical Engineering",2
Gene regulatory network transitions reveal the central trans...,Biology,1
A clumped canopy architecture can increase crop yields while...,Environmental Science,1
The power of public and patient involvement in healthcare in...,"Biomedical Engineering, Public Health",2
Boosting immunotherapy by restoring cryptic APC function - C...,Biology,1
Association between self-regulatory modes and alexithymia me...,Psychology,1
LLMs behaving badly: mistrained AI models quickly go off the...,Artificial Intelligence,1
Potassium-competitive acid blockers for the management of ga...,"Public Health, Biology",2
Eye-sidedness does not drive differences in growth and matur...,Environmental Science,1
Identification of key factors for early detection of rheumat...,"Public Health, Artificial Intelligence",2
Dextran-based T-cell expansion nanoparticles for manufacturi...,"Biomedical Engineering, Materials Science",2
Why citizen science is now essential for official statistics...,"Environmental Science, Sociology",2
Managing the geopolitics of Europe’s fossil-fuel exit - Natu...,"Environmental Science, Political Science",2
Hint recognition in Chinese and Russian diplomatic discourse...,Political Science,1
Behaviour without synapses: peptidergic signalling as a mode...,"Neuroscience, Psychology",2
Host m6A modifications shape microbiota that drives cell spe...,Biology,1
"Even in space, telescopes can’t escape photobombers...",Physics,1
Synthetic data and normative databases in generative artific...,"Neuroscience, Artificial Intelligence",2
Exploring the genomic population structure and history of Au...,Biology,1
Ancient pottery reveals early evidence of mathematical think...,"Cognitive Science, Mathematics",2
Disorder-specific alterations of transient oscillatory dynam...,Neuroscience,1
Distributed multi-parameter quantum metrology with a superco...,Physics,1
Biochemical principles of miRNA targeting in flies - Nature ...,Biology,1
Lactiplantibacillus plantarum Lp815 improves sleep and incre...,"Biology, Psychology",2
Understanding and rethinking identity through Luhmann’s syst...,"Political Science, Sociology",2
Double recombinant nOPV2 vaccine - Nature Microbiology...,Biology,1
Kaolinite’s many lives - Nature Geoscience...,Civil Engineering,1
"Aesculetin (6,7-dihydroxycoumarin) enhances the differentiat...",Biomedical Engineering,1
The Tervuren xylarium Wood Density Database (TWDD) - Scienti...,NONE,0
Clarification of evidence selection for the framework for th...,"Public Health, Chemistry",2
The hidden role of waste pickers in climate resilience - Nat...,"Environmental Science, Cognitive Science",2
Effect of the health action process approach theory in patie...,"Cognitive Science, Psychology",2
Biochar boom-and-bust cycle - Nature Sustainability...,"Environmental Science, Biology",2
The status and politics of bicycling in the cities of low- a...,Sociology,1
A sex-specific brake on liver oestrogen signalling - Nature ...,NONE,0
Removal of fluoride from groundwater using a zeolite A suppo...,Materials Science,1
A just energy transition requires just-shoring critical mate...,Materials Science,1
Advances in AI-based patient stratification for rheumatic di...,"Biomedical Engineering, Public Health",2
Balancing data collection and privacy protection in precisio...,"Biology, Biomedical Engineering",2
Artificial intelligence characters are dangerous without leg...,"Artificial Intelligence, Cognitive Science",2
We need accountability in human–AI agent relationships - npj...,"Artificial Intelligence, Cognitive Science",2
Blood glucose mediation of the association between SIRI and ...,"Public Health, Biomedical Engineering",2
Key advances in perovskite solar cells in 2025 - Nature Revi...,"Materials Science, Environmental Science",2
A channel water temperature prediction method based on trans...,Environmental Science,1
The US is quitting 66 global agencies: what does it mean for...,"Public Health, Political Science",2
Metabolic adaptation in CD4+ T cells promotes immunosuppress...,"Biology, Biomedical Engineering",2
"Lesion-targeted, severity-responsive nanoparticle delivery f...",Biomedical Engineering,1
Genomic clues to the origin of eukaryotic cells...,Biology,1
Purifying water with manual pumping - Nature Water...,"Civil Engineering, Environmental Science",2
This shapeshifting polymer was inspired by octopus skin...,"Chemistry, Mechanical Engineering",2
Data science academic programs in the pre-ChatGPT erain the ...,"Sociology, Data Science",2
Carbon in river floodplains - Nature Climate Change...,Environmental Science,1
Optimizing unsupervised clustering of electrochemical impeda...,"Data Science, Neuroscience",2
AlphaFold can help African researchers to do cutting-edge st...,Biology,1
Spatiotemporal dynamic and driving factors of ecological res...,"Civil Engineering, Environmental Science",2
Bacteria break through one-micrometer-square passages by fla...,Biology,1
Politically knowledgeable ideologues believe they are less e...,Political Science,1
Enhanced signal-to-noise ratio with exceptional-point phase ...,"Neuroscience, Electrical Engineering",2
Advances in PFAS treatment in water in 2025 - Nature Reviews...,"Civil Engineering, Environmental Science",2
Six ways to empower African research and development for hea...,Public Health,1
Surgical resection versus non-surgical treatments for hepato...,Biology,1
Restoration of ethanol-induced Bifidobacterium pseudocatenul...,Biology,1
Functional and structural insights into interactions between...,Biology,1
Organic crystalline nanoparticles with a long-lived charge-s...,Chemistry,1
Multilevel evaluation of Prunus cerasifera Ehrh. rootstock c...,NONE,0
Nationwide genetic screening proves effective at catching di...,"Public Health, Biology",2
Briefing Chat: Can NASA return rocks from Mars? And why dogs...,"Cognitive Science, Artificial Intelligence",2
Environmental impacts from European food consumption can be ...,"Environmental Science, Public Health",2
Projected warming will exceed the long-term thermal limits o...,Environmental Science,1
Hotspot RPL3L variants drive early onset heart failure throu...,NONE,0
The relevant influencing factors of self injury among patien...,Psychology,1
Mistaken identity and the psychology of human recognition...,"Cognitive Science, Psychology",2
Marine heatwaves are transforming Western mediterranean mari...,Environmental Science,1
Sex differences in foraging ecology of the chick rearing Brü...,NONE,0
Content compensation design for older adults’ perceived heal...,"Psychology, Public Health",2
SH3 domains selectively activate the PI3 kinase through non-...,"Biology, Biomedical Engineering",2
Green microfinance: Africa’s path to resilience - Humanities...,Sociology,1
Battery-electric passenger vehicles will be cost-effective a...,Environmental Science,1
Health risks of oil and gas development - Nature Reviews Nep...,"Public Health, Environmental Science",2
Mitochondrial asymmetry shifts T cell fate - Nature Cell Bio...,Biology,1
Predicting tourism growth in Saudi Arabia with machine learn...,"Cognitive Science, Artificial Intelligence",2
Jellyfish sleep like humans — even though they don’t have br...,"Neuroscience, Cognitive Science",2
Modeling tissue-specific Drosophila metabolism identifies hi...,Biology,1
Evaluation of ChatGPT-4o and Gemini for gout management: a c...,NONE,0
Metabolic reprogramming enhances oxidative stress resistance...,"Biology, Biomedical Engineering",2
Avoiding affection in Kaathal—The Core: homosexuality saniti...,"Sociology, Psychology",2
Effectiveness of a hierarchical pharmacist management model ...,Public Health,1
From superstition to generosity: the role of executives’ luc...,"Business, Sociology",2
How Rwanda is preparing its health system for the climate cr...,"Public Health, Environmental Science",2
The relevance of classic language models in the age of AI - ...,"Psychology, Cognitive Science",2
Unbiased clustering of acute-on-chronic liver failure patien...,"Artificial Intelligence, Public Health",2
Diverging maturity and converging challenges of water and CO...,Environmental Science,1
Tracing dynamic arrest - Nature Physics...,"Physics, Cognitive Science",2
The oldest sepioid cephalopod from the Cretaceous discovered...,"Artificial Intelligence, Neuroscience",2
Reconstruction of Extreme Sea Levels in coastal China using ...,"Environmental Science, Artificial Intelligence",2
Response to ‘Non-profits wade in where for-profit life scien...,"Biology, Business",2
"A bibliometric analysis of governance, risk, and compliance ...","Political Science, Sociology",2
Same-sex sexual behaviour can help primates to survive — and...,"Psychology, Marketing",2
From models to molecules: self-organized and instructed mode...,"Biology, Psychology",2
Calibrated AI for nAMD monitoring with transport validation ...,"Artificial Intelligence, Neuroscience",2
A study on the coupling mechanism between the urban environm...,"Artificial Intelligence, Neuroscience",2
HumanBase: an interactive AI platform for human biology - Na...,"Biology, Cognitive Science",2
Heterogeneous sympathetic control of brown adipose tissue - ...,NONE,0
Anthropogenic climate change leads to a pronounced reorganis...,Environmental Science,1
Improving erectile function in diabetic male mice by rescuin...,"Neuroscience, Biomedical Engineering",2
Disentangling the role of environmental factors in the CKDu ...,"Public Health, Biology",2
Aged skin exacerbates experimental osteoarthritis via enhanc...,Biomedical Engineering,1
A mysterious ancient fingerprint and a lemon-shaped planet —...,"Cognitive Science, Environmental Science",2
Placebo effect influences vaccine responses - Nature Medicin...,"Marketing, Public Health",2
Nationwide genomic surveillance of carbapenem- and colistin-...,"Biology, Public Health",2
Double-dose firmonertinib as first-line treatment in patient...,"Business, Materials Science",2
The prognostic significance of metastasis to No. 253 lymph n...,Materials Science,1
"The democratization dilemma: When everyone is an expert, who...","Political Science, Sociology",2
Multiplying matrices in a single pass with light - Nature Ph...,Physics,1
Measuring electrooculograms of a simulated underwater diver ...,Environmental Science,1
Discovering the laws behind complex networked systems - Natu...,"Computer Science, Applied Mathematics",2
Do you have a side hustle alongside your PhD studies? Take N...,"Psychology, Sociology",2
Evaluation of drip and flood irrigated treatments under vary...,"Environmental Science, Civil Engineering",2
In vitro release kinetics and in vivo plasma exposure of gre...,Biomedical Engineering,1
Drone docks for automated forest phenology monitoring - Natu...,Environmental Science,1
From 1995 to now: the endophthalmitis vitrectomy study and t...,Biomedical Engineering,1
Clinically-guided models or foundation models? predicting ce...,"Public Health, Biology",2
Collaborative encounters? Two recent Spanish takes on the Sh...,Sociology,1
Using interdisciplinary dialogue to understand the influence...,"Psychology, Sociology",2
C1q-dependent clearance of alpha-synuclein allows macrophage...,"Biology, Neuroscience",2
Cities are embracing nature for flood defence...,Civil Engineering,1
Analysis of the spatial-temporal distribution and functional...,NONE,0
Russia’s invasion of Ukraine: a test for international law -...,Political Science,1
Energy intensive industry upgrading: the empirical analysis ...,"Civil Engineering, Environmental Science",2
Understanding purchase intention for genAI-enabled museum cu...,Marketing,1
The R451 site is critical for PTPN18 to exert tumor suppress...,Biology,1
Emergency mental health co-responders reduce involuntary psy...,Psychology,1
The chatbots claiming to be Jesus: spreading gospel or heres...,"Artificial Intelligence, Computer Science",2
Inclusive writing in the social sciences - Nature Reviews Ps...,Psychology,1
Mapping the science–technology translational landscape in bi...,"Biology, Biomedical Engineering",2
Emotion recognition from faces and bodies in Parkinson’s dis...,Neuroscience,1
The causes of the causes: Aboriginal and Torres Strait Islan...,"Public Health, Sociology",2
Assessing decadal changes in human exposure near wildfires i...,"Public Health, Environmental Science",2
The role of the lymphatic system in musculoskeletal system h...,Civil Engineering,1
Variations in carbon flux allocation among cassava (Manihot ...,Environmental Science,1
"Materials science, 10 years on - Nature Reviews Materials...",Materials Science,1
Robust generation of clinically applicable human pluripotent...,Biomedical Engineering,1
Prognostic role of CDCA3 in lung adenocarcinoma with immune ...,"Biology, Materials Science",2
Sphingolipid signaling links elastin deficiency to arterial ...,Public Health,1
Holistic approaches to explain and combat obesity - Nature M...,"Public Health, Environmental Science",2
Building mechanochemistry into soft biomaterials - Nature Re...,"Biomedical Engineering, Mechanical Engineering",2
"Placemaking through the invisible: Nyau rituals, spiritual c...",Sociology,1
AI can turbocharge scientists’ careers — but limit their sco...,"Neuroscience, Artificial Intelligence",2
IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvena...,Biomedical Engineering,1
How online studies must increase their defences against AI -...,"Psychology, Artificial Intelligence",2
Brazil’s COP30 legacy should be to protect more of its fores...,"Environmental Science, Public Health",2
Revisiting type 1 diabetes progression in the non-obese diab...,Public Health,1
Assembling unregulated DNA segments bypasses synthesis scree...,Biology,1
GLP-1 receptor agonism counteracts omics aging in mice - Nat...,Biology,1
Foundation model embeddings for multimodal oncology data int...,"Biomedical Engineering, Biology",2
Environmental stewardship and health systems: Indigenous-cen...,Public Health,1
Loss of the CoA-degrading enzyme NUDT19 exacerbates albuminu...,NONE,0
Oral anticoagulant therapy after ablation for atrial fibrill...,NONE,0
Ligand-controlled regiodivergent and enantioselective C–H cy...,Chemistry,1
An interstellar energetic and non-aqueous pathway to peptide...,Physics,1
The impact of digital literacy on women’s wage income: evide...,Sociology,1
Low resistance p-type contacts to monolayer WSe2 through chl...,"Materials Science, Chemistry",2
HPV vaccine could help to protect the unvaccinated against c...,"Public Health, Biology",2
I’m going to halve my publication output. You should conside...,"Environmental Science, Biology",2
Ageing rewires the body’s tolerance to infection...,"Public Health, Biomedical Engineering",2
The undervaluing of elite women in physics - Nature Physics...,"Physics, Materials Science",2
Beyond conformity: exploring the moderated role of peer effe...,"Business, Marketing",2
Bottom-up mesoscopic coarse-graining of soft matter - Nature...,"Physics, Materials Science",2
The growing public health problem of sugar-sweetened beverag...,Public Health,1
Operando nuclear magnetic resonance decodes alkali-tuned pro...,"Chemistry, Biomedical Engineering",2
Tailoring Australian carbon farming can realise greater co-b...,Environmental Science,1
A conversation-analytic perspective of repair initiation in ...,Psychology,1
The future of interpersonal violence research: Steps towards...,"Sociology, Psychology",2
"Ultralight, mechanically robust, water stable MXene–chitosan...","Materials Science, Chemistry",2
Redirecting mast cells for antigen-specific cancer immunothe...,NONE,0
How much protein do you actually need?...,NONE,0
Forecasting the number of sunspots for solar cycle 25 utiliz...,Environmental Science,1
Interdisciplinarity and anxiety - Humanities and Social Scie...,"Psychology, Sociology",2
Too much efficiency leads to delays - Nature Reviews Physics...,"Cognitive Science, Environmental Science",2
The psychology of health - Communications Psychology...,Psychology,1
Walking the talk: voluntary actions on marine protected area...,Environmental Science,1
Preferential play - Nature Physics...,"Mathematics, Cognitive Science",2
CD73 overexpression in ADSCs accelerates bladder repair by r...,"Biomedical Engineering, Biology",2
Stress-testing the cascading economic impacts of urban flood...,"Civil Engineering, Sociology",2
Models translate lake mud into useful climate variables - Na...,Environmental Science,1
Sustainability of gap funding programs aimed at commercializ...,"Business, Biology",2
Pure tone auditory thresholds and their association with cog...,"Cognitive Science, Psychology",2
Chemical whispers hidden in the plant and microbiota kingdom...,Biology,1
OTX2 inhibits human pluripotent stem cell reprogramming towa...,"Biology, Biomedical Engineering",2
The visionary physicist who gave us a new way to view the co...,Physics,1
Policy levers for household efficiency: an evolutionary game...,"Sociology, Public Health",2
Long term water quality improvements associated with the res...,"Civil Engineering, Neuroscience",2
Level the slopes - Nature Physics...,"Neuroscience, Civil Engineering",2
Artificial Intelligence and the limits of reason: a framewor...,"Cognitive Science, Political Science",2
Building the world’s first truly global medical foundation m...,Public Health,1
Flipping the narrative on launching a rewarding career in ac...,"Biomedical Engineering, Psychology",2
Home-field advantage: how local research leads to new discov...,Sociology,1
