title,url,source,growth_potential,recession_resistance,automation_resistance,skill_accessibility,cross_industry_collaboration
Policy drivers for clean-energy technology 2025 - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00137-y,www.nature.com,7.09,6.85,6.62,4.02,7.46
Engineered nanobodies facilitate cryo-EM studies of small proteins - Nature Reviews Molecular Cell Biology,https://www.nature.com/articles/s41580-025-00940-2,www.nature.com,7.22,6.77,6.12,3.69,5.93
Order and chaos in urban life - Nature Cities,https://www.nature.com/articles/s44284-025-00252-8,www.nature.com,7.02,6.16,5.95,4.26,6.97
Precision bounds for characterising quantum measurements - Nature Communications,https://www.nature.com/articles/s41467-026-68529-7,www.nature.com,6.4,5.71,6.46,4.74,6.74
Including overlooked littoral zones in lake carbon budgets can switch lakes to net carbon sinks - Nature Geoscience,https://www.nature.com/articles/s41561-025-01744-x,www.nature.com,5.09,6.4,5.29,5.76,7.12
An anniversary annum - Nature Physics,https://www.nature.com/articles/s41567-025-03152-9,www.nature.com,6.52,7.08,5.76,4.91,5.81
From rodents on the ISS to humans in commercial LEO - Nature Reviews Bioengineering,https://www.nature.com/articles/s44222-025-00383-6,www.nature.com,5.77,6.53,4.57,5.12,7.46
High-fidelity chip delayering using green (515 nm) femtosecond lasers - Scientific Reports,https://www.nature.com/articles/s41598-026-35091-7,www.nature.com,6.63,6.2,6.31,4.05,5.57
Shared universal pressures in the evolution of human languages - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02355-7,www.nature.com,6.84,6.04,5.55,4.62,5.94
The role of biodegradable plastics in the global plastic future - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00142-1,www.nature.com,6.47,6.7,5.11,5.23,7.47
"Active conversion of atmospheric carbon dioxide to methane in peridotites of the Samail Ophiolite, Oman - Scientific Reports",https://www.nature.com/articles/s41598-025-34170-5,www.nature.com,6.54,6.56,5.45,5.1,5.46
Dynamical modulation of hippocampal replay through firing rate adaptation - Nature Communications,https://www.nature.com/articles/s41467-025-68042-3,www.nature.com,6.79,6.05,6.37,6.0,7.76
TET1 as a master regulator controlling GPX4-dependent and -independent ferroptosis surveillance in acute myeloid leukemia - Nature Communications,https://www.nature.com/articles/s41467-026-68509-x,www.nature.com,6.85,7.42,6.06,4.09,5.76
Evidence for Alfvén waves powering auroral arc via a static electric potential drop - Nature Communications,https://www.nature.com/articles/s41467-025-65819-4,www.nature.com,6.54,6.03,6.56,4.82,6.28
A historical approach of media development in Saudi Arabia under the cultural and religious influences - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-05999-y,www.nature.com,6.72,6.63,5.66,4.78,6.92
Science decade for sustainable development - Nature Reviews Electrical Engineering,https://www.nature.com/articles/s44287-025-00249-4,www.nature.com,7.22,7.23,6.44,4.15,7.63
"Social-ecological network analysis of national park attractiveness: a case study of Baishanzu Mountain, China - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-026-06505-8,www.nature.com,6.45,5.86,6.54,5.07,7.2
DFT study of benzothiadiazole based small molecules for high efficiency organic photovoltaics - Scientific Reports,https://www.nature.com/articles/s41598-026-35432-6,www.nature.com,6.8,7.0,6.29,4.28,7.36
Wonder and curiosity beyond the obvious—a dynamic model of bodily and verbal understandings of these phenomena - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06467-3,www.nature.com,6.62,6.44,5.69,4.5,6.48
Caution is needed when translating the carbon market logic to nature credits - Nature Food,https://www.nature.com/articles/s43016-025-01234-8,www.nature.com,6.32,5.97,6.05,4.54,7.05
US science after a year of Trump: what has been lost and what remains,https://www.nature.com/articles/d41586-026-00088-9,www.nature.com,7.79,7.11,5.61,4.63,6.29
Functional movement screen and asymmetries in female volleyball players across playing positions - Scientific Reports,https://www.nature.com/articles/s41598-026-35725-w,www.nature.com,6.2,7.24,5.98,4.5,7.07
The acceptability to patients with macular disease to have retreatment decisions being made by artificial intelligence - Eye Open,https://www.nature.com/articles/s44440-025-00011-7,www.nature.com,6.72,6.3,4.76,5.89,7.54
Forced labour in US food supply chains - Nature Food,https://www.nature.com/articles/s43016-023-00796-9,www.nature.com,6.14,5.43,6.24,4.76,7.31
Proteomic profile of faricimab-associated occlusive retinal vasculitis - Eye,https://www.nature.com/articles/s41433-025-04175-5,www.nature.com,7.0,6.78,5.63,5.0,7.34
Science and Hinduism share the vision of a quest for truth - Nature Human Behaviour,https://www.nature.com/articles/s41562-024-02055-8,www.nature.com,7.22,6.83,5.65,5.05,7.13
Plant recognition by Trichoderma Harzianum elicits upregulation of a novel secondary metabolite cluster required for colonization - Scientific Reports,https://www.nature.com/articles/s41598-025-33935-2,www.nature.com,6.8,6.34,5.71,4.61,7.28
"To gain public trust, make art central to science communication",https://www.nature.com/articles/d41586-026-00210-x,www.nature.com,7.26,6.65,5.46,4.43,7.66
Non-viral vectors as beacons of hope for reducing genotoxic risks of gene therapy - Nature Biomedical Engineering,https://www.nature.com/articles/s41551-025-01581-8,www.nature.com,7.39,7.03,5.63,4.17,7.5
Structural analysis of OCT4 binding to human LIN28B nucleosomes - Scientific Reports,https://www.nature.com/articles/s41598-026-35959-8,www.nature.com,7.1,6.31,5.42,4.23,5.81
"Electrical conductivities of (Mg,Fe)O at extreme pressures and implications for planetary magma oceans - Nature Astronomy",https://www.nature.com/articles/s41550-025-02729-x,www.nature.com,6.8,6.46,6.2,4.15,6.97
ASF1B promotes gastric cancer liver metastasis through inhibiting ZDHHC9/PCBP1/ SLC7A11 signaling axis mediated ferroptosis - npj Precision Oncology,https://www.nature.com/articles/s41698-026-01272-w,www.nature.com,5.05,6.9,4.95,4.6,5.54
Immature orangutans require cultural knowledge to develop mature diets - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02368-2,www.nature.com,6.78,5.43,5.74,5.12,6.41
"Knowledge, attitudes, and practices regarding acne among university students - Scientific Reports",https://www.nature.com/articles/s41598-025-34774-x,www.nature.com,5.31,6.92,4.57,4.99,7.38
Projections of 21st-century sea-level fall along coastal Greenland - Nature Communications,https://www.nature.com/articles/s41467-025-68182-6,www.nature.com,5.0,6.1,4.47,6.54,6.95
"In memoriam – Robert M. Bilder, Ph.D. - Neuropsychopharmacology",https://www.nature.com/articles/s41386-025-02309-7,www.nature.com,7.07,7.72,6.04,4.19,6.63
Digital divide and healthcare service utilization among older adults with chronic liver disease in China: a nationwide cross-sectional study - Scientific Reports,https://www.nature.com/articles/s41598-025-34523-0,www.nature.com,6.51,6.97,5.99,5.94,6.03
"Beyond urban and rural: exploring form, accessibility, and interconnectivity in global urban classifications - npj Urban Sustainability",https://www.nature.com/articles/s42949-025-00304-x,www.nature.com,6.81,7.04,7.08,4.44,7.29
Research on coupling coordination of new quality productive forces and innovation resource allocation based on MLP neural networks - Scientific Reports,https://www.nature.com/articles/s41598-026-36247-1,www.nature.com,7.16,6.48,6.59,4.49,7.29
EMUC25: shaping tomorrow’s uro-oncology care - Nature Reviews Urology,https://www.nature.com/articles/s41585-025-01119-2,www.nature.com,6.88,7.52,5.69,4.06,7.66
Revised estimates of CO2 sources and sinks improve global carbon accounting,https://www.nature.com/articles/d41586-025-03981-x,www.nature.com,4.95,6.39,5.52,4.94,6.16
"Climate change and AKI: heat, hazards and health-system readiness - Nature Reviews Nephrology",https://www.nature.com/articles/s41581-026-01048-2,www.nature.com,7.05,6.39,5.43,5.79,7.47
Human brain MRI data of intrathecally injected tracer evolution over 72 hours for data-integrated simulations - Scientific Data,https://www.nature.com/articles/s41597-026-06564-1,www.nature.com,6.52,6.75,5.97,4.37,7.18
Blood biomarkers reveal pathways associated with multimorbidity - Nature Medicine,https://www.nature.com/articles/s41591-025-04165-w,www.nature.com,6.83,7.26,5.99,5.81,7.73
Higgs mode-driven phase transitions in two-dimensional perovskites - Nature Materials,https://www.nature.com/articles/s41563-025-02472-8,www.nature.com,7.02,6.32,5.65,4.63,5.9
Mechanistically guided residual learning for battery state monitoring throughout life - Nature Communications,https://www.nature.com/articles/s41467-025-67565-z,www.nature.com,7.46,6.17,6.59,4.51,7.19
Getting to the (square) root of stock-market swings,https://www.nature.com/articles/d41586-026-00045-6,www.nature.com,7.0,6.57,5.19,4.74,7.27
Magma oceans could host dynamos in massive Earth-like planets - Nature Astronomy,https://www.nature.com/articles/s41550-025-02731-3,www.nature.com,6.7,6.58,5.8,4.54,5.76
Smile-shaped electron gradient distributions observed during magnetic reconnection at Earth’s magnetopause - Communications Physics,https://www.nature.com/articles/s42005-026-02489-8,www.nature.com,6.65,7.34,5.13,5.15,6.68
Translating a bioinspired polymer into a modular surgical platform - Nature Reviews Bioengineering,https://www.nature.com/articles/s44222-026-00408-8,www.nature.com,7.12,6.91,4.91,4.49,7.52
The virtual cell - Nature Methods,https://www.nature.com/articles/s41592-025-02951-5,www.nature.com,6.86,5.66,5.38,5.69,7.73
Tariffs and economic uncertainty threaten public health - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02346-8,www.nature.com,5.98,6.58,4.98,4.8,5.89
Rising lake and reservoir emissions - Nature Climate Change,https://www.nature.com/articles/s41558-025-02529-1,www.nature.com,5.11,6.45,5.29,6.4,7.46
"Talent retention in South Korean context: social support, cultural adaptation, and career opportunities discourage onward migration intentions of international students - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-025-06463-7,www.nature.com,6.69,6.34,5.85,5.25,5.79
Ependymoglial cells are critical for cortex regeneration in axolotls - Nature Communications,https://www.nature.com/articles/s41467-026-68538-6,www.nature.com,6.76,6.44,6.33,5.78,5.84
Leveraging circular nutrients to improve the sustainability of peri-urban agriculture - npj Urban Sustainability,https://www.nature.com/articles/s42949-025-00333-6,www.nature.com,4.67,6.18,5.6,5.21,6.53
Astaxanthin improve the intestinal microbiota and metabolism after ischemic stroke - Scientific Reports,https://www.nature.com/articles/s41598-026-36735-4,www.nature.com,7.03,5.84,5.4,5.31,7.34
Predictors of vitamin D deficiency and quality of life in obese patients with obstructive sleep apnea - Scientific Reports,https://www.nature.com/articles/s41598-026-36267-x,www.nature.com,6.18,5.24,5.62,4.32,7.19
Floating science stations: my month on a research vessel looking after buoys,https://www.nature.com/articles/d41586-026-00189-5,www.nature.com,4.95,6.78,5.16,6.1,7.52
Validation of histopathology-based deep learning algorithms for detection of actionable non-small cell lung cancer biomarkers - npj Precision Oncology,https://www.nature.com/articles/s41698-025-01267-z,www.nature.com,7.83,6.43,5.81,3.8,7.45
A unified knowledge graph linking foodomics to chemical-disease networks and flavor profiles - npj Science of Food,https://www.nature.com/articles/s41538-025-00680-9,www.nature.com,6.12,5.41,4.48,5.92,6.92
The ERP characteristics in the process of hazard identification - Scientific Reports,https://www.nature.com/articles/s41598-026-35883-x,www.nature.com,6.64,6.11,6.54,4.8,7.18
Cultural diversity of religion across 117 countries - Nature Communications,https://www.nature.com/articles/s41467-025-67671-y,www.nature.com,6.88,6.38,5.07,5.21,7.2
A sustainability-oriented supply chain supplier selection framework using resilience and HSE performance metrics in the automotive industry - Scientific Reports,https://www.nature.com/articles/s41598-025-30055-9,www.nature.com,6.5,6.78,6.5,4.77,6.18
A study of mental health status and its influencing factors in normal weight obesity population - Scientific Reports,https://www.nature.com/articles/s41598-026-35897-5,www.nature.com,7.2,6.8,5.72,4.51,7.65
Prevalence and risk factors of stress urinary incontinence among female horseback riders in Poland - Scientific Reports,https://www.nature.com/articles/s41598-026-36444-y,www.nature.com,5.46,6.12,5.41,4.65,7.05
"Trajectory of stratum radiatum, lacunosum and moleculare integrity in Alzheimer’s disease continuum - Scientific Reports",https://www.nature.com/articles/s41598-026-35610-6,www.nature.com,7.07,6.63,5.36,6.35,7.09
An evaluation system for regional cultural suitability of urban cross-river bridges: insights into the liberation bridge in Tianjin - Scientific Reports,https://www.nature.com/articles/s41598-026-35225-x,www.nature.com,6.67,5.34,6.79,4.83,6.88
Highly efficient LED device built by stacking layers of light-emitting perovskite,https://www.nature.com/articles/d41586-025-04021-4,www.nature.com,6.4,6.91,6.45,4.54,5.78
Enhancing link prediction in biomedical knowledge graphs with BioPathNet - Nature Biomedical Engineering,https://www.nature.com/articles/s41551-025-01598-z,www.nature.com,7.6,6.92,5.62,5.1,7.71
Resilient low-inertia power systems through asynchronous energy balancing - Nature Reviews Electrical Engineering,https://www.nature.com/articles/s44287-025-00256-5,www.nature.com,6.71,5.52,5.98,5.88,7.24
Behavioral and psychophysical characterization of proprioceptive impairment in healthy aging: a hyper-illusory experience of movement - npj Aging,https://www.nature.com/articles/s41514-026-00333-5,www.nature.com,6.73,5.64,5.5,3.84,7.28
Impact of dual-tasking and balance confidence on turns and transitions: a cross-sectional study in Parkinson’s disease - Scientific Reports,https://www.nature.com/articles/s41598-026-35450-4,www.nature.com,6.56,6.18,6.44,4.36,7.21
Rotation amplifies mixing in ageing Sun-like stars - Nature Astronomy,https://www.nature.com/articles/s41550-025-02744-y,www.nature.com,7.28,6.17,5.76,4.48,6.16
Social bonds and community support are vital to prison reform - Nature Human Behaviour,https://www.nature.com/articles/s41562-024-02007-2,www.nature.com,6.64,6.11,5.54,4.73,7.12
HCN channels reveal conserved and divergent physiology in supragranular pyramidal neurons in primate species - Communications Biology,https://www.nature.com/articles/s42003-026-09558-2,www.nature.com,4.92,6.58,5.07,4.97,7.18
Spatial connections between the timing of hydroclimatic extremes - Nature Water,https://www.nature.com/articles/s44221-025-00536-2,www.nature.com,5.84,6.43,5.06,4.82,7.26
Love and economic development - Nature Human Behaviour,https://www.nature.com/articles/s41562-021-01251-0,www.nature.com,6.31,6.65,5.36,4.82,7.1
Tragic love: AI’s emotionless system and the absence of human emotions - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06400-8,www.nature.com,7.46,6.6,5.7,4.62,6.16
Bowel incision closure with a semi-mutomated Robot-assisted laser tissue soldering system - Scientific Reports,https://www.nature.com/articles/s41598-025-32266-6,www.nature.com,4.97,6.92,4.95,4.37,6.39
Molecular and zooarchaeological identification of 5000 year old whale-bone harpoons in coastal Brazil - Nature Communications,https://www.nature.com/articles/s41467-025-67530-w,www.nature.com,6.35,6.44,6.22,6.11,6.78
"Immunoassays for the detection and differentiation of Paenibacillus larvae, the etiological agent of American foulbrood (AFB) in honey bees - Scientific Reports",https://www.nature.com/articles/s41598-026-35590-7,www.nature.com,7.25,6.75,5.76,4.48,7.46
"Isolation, purification and characterization of lipocartilage in mice - Nature Protocols",https://www.nature.com/articles/s41596-025-01302-0,www.nature.com,6.88,6.93,6.03,4.7,5.85
Irreversibility in climate action - Nature Climate Change,https://www.nature.com/articles/s41558-025-02526-4,www.nature.com,4.81,6.22,5.07,4.77,7.51
Age stereotypes in appeals for intergenerational solidarity: disentangling the paradox - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06113-y,www.nature.com,6.75,6.96,5.8,4.55,7.46
Rethinking classroom design to improve learning - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02386-0,www.nature.com,6.43,5.84,6.47,5.83,7.51
Integrative multimodal hybrid data fusion for mortality prediction - Scientific Reports,https://www.nature.com/articles/s41598-026-36296-6,www.nature.com,6.7,6.56,4.04,6.42,7.74
High-entropy alloy Janus artificial enzymes for pH-gated sequential redox therapy of drug-resistant bacterial infection - Nature Communications,https://www.nature.com/articles/s41467-025-68020-9,www.nature.com,7.21,6.83,6.05,5.18,7.78
Label-free tissue NIR-II autofluorescence imaging for visualization of human liver malignancy - Nature Biomedical Engineering,https://www.nature.com/articles/s41551-025-01593-4,www.nature.com,6.8,6.95,5.56,6.04,7.22
Identification of a novel real-time PCR reference gene panel for EA.hy926 endothelial cells in different growth States and with DHA treatment - Scientific Reports,https://www.nature.com/articles/s41598-025-27383-1,www.nature.com,6.31,7.1,5.33,4.26,7.1
Improved de novo production of prostaglandin F2α from glucose with engineered Yarrowia lipolytica strains - Communications Biology,https://www.nature.com/articles/s42003-025-09510-w,www.nature.com,6.81,6.54,5.77,5.42,6.17
A CT Dataset with RECIST Measurements and Comprehensive Segmentation Masks for Tumors and Lymph Nodes - Scientific Data,https://www.nature.com/articles/s41597-026-06597-6,www.nature.com,4.99,6.97,5.15,6.07,7.44
Cyclone-induced cooling is weaker than suggested by previous estimates - Nature Geoscience,https://www.nature.com/articles/s41561-025-01900-3,www.nature.com,6.56,6.09,4.74,5.69,7.17
2D perovskites featuring intralayer bidentate ligands - Nature Chemistry,https://www.nature.com/articles/s41557-025-02051-z,www.nature.com,6.99,6.99,6.3,4.47,5.9
TET1 suppresses hepatocellular carcinoma progression by modulating the PI3K/Akt signaling pathways - Scientific Reports,https://www.nature.com/articles/s41598-026-36334-3,www.nature.com,5.09,6.92,5.6,5.97,7.19
Ancient ‘snowball’ Earth had frigidly briny seas,https://www.nature.com/articles/d41586-025-04081-6,www.nature.com,6.66,5.98,5.32,4.68,5.49
Monsters: interdisciplinary explorations in monstrosity - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-020-0428-1,www.nature.com,7.03,5.93,5.68,6.11,5.79
There can be more to consciousness research than theory testing - Communications Psychology,https://www.nature.com/articles/s44271-025-00357-9,www.nature.com,7.03,5.59,5.49,5.75,7.31
Looking backwards and forwards - Nature Reviews Clean Technology,https://www.nature.com/articles/s44359-025-00140-3,www.nature.com,7.13,6.58,6.86,4.51,7.7
Unusual objects illuminate new evolutionary paths - Nature Astronomy,https://www.nature.com/articles/s41550-025-02762-w,www.nature.com,7.06,6.0,5.67,4.21,5.89
Trans-RNAs to program translation initiation - Nature Methods,https://www.nature.com/articles/s41592-025-02998-4,www.nature.com,4.92,6.55,4.98,4.7,7.59
Colour blindness as a risk factor for bladder cancer - Nature Health,https://www.nature.com/articles/s44360-025-00029-2,www.nature.com,6.82,6.98,5.66,4.47,7.46
Site-saturation functional screens identify PALB2 missense variants associated with increased breast cancer risk - Nature Communications,https://www.nature.com/articles/s41467-025-67252-z,www.nature.com,6.29,6.8,5.53,5.55,6.92
Surface rejuvenation of stony near-Earth asteroids triggered by planetary shadows - Nature Geoscience,https://www.nature.com/articles/s41561-025-01907-w,www.nature.com,6.19,6.2,6.14,4.89,5.53
Post-transcriptional control of endogenous retroviruses by L1td1 suppresses totipotency acquisition in pluripotent stem cells - Cell Discovery,https://www.nature.com/articles/s41421-025-00864-3,www.nature.com,6.65,7.21,5.53,4.53,6.02
Collective intelligence for AI-assisted chemical synthesis - Nature,https://www.nature.com/articles/s41586-026-10131-4,www.nature.com,7.02,6.2,5.65,5.34,7.2
A potential turning point for Bolivia’s biodiversity conservation - Nature Ecology & Evolution,https://www.nature.com/articles/s41559-025-02937-8,www.nature.com,6.72,6.97,6.57,4.98,7.42
Trump one year on: How six US researchers plan to protect science amid chaos and cuts,https://www.nature.com/articles/d41586-026-00090-1,www.nature.com,6.96,7.38,5.82,4.32,7.85
Artificial intelligence for public health can harness data for healthier populations - Nature Health,https://www.nature.com/articles/s44360-025-00005-w,www.nature.com,7.57,6.7,5.77,4.6,7.52
The Italian parliament first to recognize obesity as a chronic and relapsing disease - Nature Medicine,https://www.nature.com/articles/s41591-025-04112-9,www.nature.com,6.71,6.66,5.63,5.41,7.44
Climate mode interactions amplify coastal flood risks and their seasonal predictability - Nature Geoscience,https://www.nature.com/articles/s41561-025-01903-0,www.nature.com,5.27,6.24,4.97,5.83,7.12
Nickel-catalyzed divergent sulfonations of propargylic carbonate - Nature Communications,https://www.nature.com/articles/s41467-026-68720-w,www.nature.com,7.09,6.14,5.81,3.85,5.77
Ultra-low-density exoplanets observed around a young star,https://www.nature.com/articles/d41586-025-03983-9,www.nature.com,6.81,6.43,5.59,4.77,5.58
A modified nanoparticle–mRNA complex for improved gene editing in the heart - Nature Biomedical Engineering,https://www.nature.com/articles/s41551-025-01559-6,www.nature.com,7.56,6.67,5.54,4.38,7.46
Climate adaptation and resilience must account for context and culture - Nature Health,https://www.nature.com/articles/s44360-025-00009-6,www.nature.com,5.44,6.67,5.5,6.27,7.28
"Take the News & Views end-of-year quiz: vampire fungus, migratory moths and a 160-year-old mystery",https://www.nature.com/articles/d41586-025-04119-9,www.nature.com,7.09,6.78,5.61,5.07,7.66
"Forest streamflow driven by soils, topography and previous rains - Nature Water",https://www.nature.com/articles/s44221-025-00570-0,www.nature.com,6.43,6.79,6.5,4.4,7.12
Seeing cities through video games - Nature Cities,https://www.nature.com/articles/s44284-025-00346-3,www.nature.com,6.44,5.47,5.71,5.87,7.16
Reply to: ‘The use of β-blockers after myocardial infarction: no doubts remain’ - Nature Reviews Cardiology,https://www.nature.com/articles/s41569-026-01251-5,www.nature.com,6.43,6.63,5.41,4.53,7.42
Fine-tune AlphaFold with limited cryo-EM observations - Communications Chemistry,https://www.nature.com/articles/s42004-026-01899-7,www.nature.com,7.37,6.58,5.92,4.2,6.28
Outside interference or Hong Kong embracing its unique identity? The Chinese Universities Shakespeare Festival - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-019-0327-5,www.nature.com,6.35,5.94,6.21,5.1,6.99
Europe’s water law needs genomic resolution - Nature Water,https://www.nature.com/articles/s44221-025-00488-7,www.nature.com,6.66,7.07,5.32,4.76,7.41
Engineering AI co-scientists for statistical genetics applications - Nature Genetics,https://www.nature.com/articles/s41588-025-02487-6,www.nature.com,7.02,6.8,5.68,4.26,7.14
Low temperature and rapid photothermal oxidation of liquid gallium for circular hydrogen production - Nature Communications,https://www.nature.com/articles/s41467-026-68664-1,www.nature.com,7.11,6.53,6.58,4.56,5.54
Integrating psychological and mental health perspectives in disease management: improving patient well-being - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-04359-0,www.nature.com,6.83,7.75,5.79,3.71,7.39
Workplaces must respond better to the bullied boss - Nature Human Behaviour,https://www.nature.com/articles/s41562-023-01702-w,www.nature.com,6.96,6.37,5.67,5.89,7.41
Cities growing food and people - Nature Cities,https://www.nature.com/articles/s44284-025-00386-9,www.nature.com,6.57,6.82,5.98,4.49,7.07
Quantifying biases in reconstructed brain networks - Communications Physics,https://www.nature.com/articles/s42005-025-02460-z,www.nature.com,6.59,6.61,5.98,5.83,7.53
The urgent need for African research collaboration on medicine quality - Nature Communications,https://www.nature.com/articles/s41467-025-67430-z,www.nature.com,7.2,6.37,5.5,5.55,7.41
"When local arthropod biomass declines, every species counts - Nature Ecology & Evolution",https://www.nature.com/articles/s41559-025-02918-x,www.nature.com,6.22,6.07,6.74,5.78,6.33
Corporate transformation is key to achieving zero waste - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02330-2,www.nature.com,6.8,6.4,6.29,4.65,7.23
Memories of items and their contexts are encoded by separate groups of human brain cells,https://www.nature.com/articles/d41586-026-00016-x,www.nature.com,7.05,6.38,4.92,4.24,7.49
Q-methodological exploration of environmental characteristics affecting residential security in hybrid blocks: a focus on Beijing - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06293-7,www.nature.com,7.43,6.85,6.91,4.96,7.29
Ice age wolf pup’s stomach yields rare DNA from woolly rhino,https://www.nature.com/articles/d41586-026-00161-3,www.nature.com,6.61,6.15,5.69,6.16,5.59
Persistent inequities in global lake science - Nature Reviews Earth & Environment,https://www.nature.com/articles/s43017-025-00722-6,www.nature.com,6.42,6.59,5.49,4.69,7.17
On the fundamental resource for exponential advantage in quantum channel learning - Nature Communications,https://www.nature.com/articles/s41467-026-68532-y,www.nature.com,6.64,5.95,5.16,6.14,6.88
How to change research culture with participatory workshops - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02391-3,www.nature.com,6.66,6.42,5.93,5.75,7.44
The cosmos through the lenses of astronomy and art - Nature Astronomy,https://www.nature.com/articles/s41550-025-02679-4,www.nature.com,6.52,6.31,5.41,6.28,7.12
Pathologies of the modern paradigm and the refugee question: a critical analysis - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06422-2,www.nature.com,6.82,7.12,6.41,5.13,6.03
Creating anthropo-scenes - Nature Climate Change,https://www.nature.com/articles/nclimate2709,www.nature.com,6.72,6.05,5.6,6.02,7.27
"The technological revolution in mental health: opportunities, challenges, and practical recommendations - Humanities and Social Sciences Communications",https://www.nature.com/articles/s41599-025-06441-z,www.nature.com,7.15,5.87,5.83,4.25,7.82
"United States and European Union aid cuts risk exacerbating links between aid, trade, and human and environmental crises - Communications Sustainability",https://www.nature.com/articles/s44458-025-00011-9,www.nature.com,6.47,6.68,5.1,4.29,7.31
Tropical flash floods are becoming more frequent and widespread but are still underestimated - Nature Geoscience,https://www.nature.com/articles/s41561-025-01844-8,www.nature.com,6.56,6.74,6.25,4.61,6.96
The fictionalization of morality police in Saudi novel: a new historicist approach - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-05237-5,www.nature.com,7.11,5.89,5.8,4.65,7.37
The ethics of suicide research online: a consensual protocol for crowdsourcing-based studies on suicide - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-023-02572-3,www.nature.com,7.14,6.94,5.88,4.31,7.78
Predicting in vivo chromatin states - Nature Genetics,https://www.nature.com/articles/s41588-025-02492-9,www.nature.com,6.73,6.6,5.42,4.81,7.7
Complexoform-specific ligands that modulate the pleiotropic methyltransferase adaptor TRMT112 - Nature Chemical Biology,https://www.nature.com/articles/s41589-025-02125-6,www.nature.com,5.43,6.28,5.05,4.78,7.19
"Immature development time and survivorship of the dengue vectors Aedes aegypti, Aedes vittatus, and the invasive Aedes albopictus in Ghana - Scientific Reports",https://www.nature.com/articles/s41598-026-36526-x,www.nature.com,6.29,6.35,6.35,4.75,7.31
Bridging the mentorship divide: how large language models could reshape medical workforce equity - npj Digital Medicine,https://www.nature.com/articles/s41746-025-02167-z,www.nature.com,5.05,6.46,4.58,6.67,6.25
When clean isn’t enough - Nature Water,https://www.nature.com/articles/s44221-025-00537-1,www.nature.com,7.03,6.38,5.57,4.62,7.47
Bionic Janus hydrogel drives infected Achilles tendon regeneration via mechano-immune spatiotemporal steering - Nature Communications,https://www.nature.com/articles/s41467-026-68514-0,www.nature.com,6.47,6.73,5.97,4.34,7.55
Lived experiences of Lewy body dementia diagnosis and care in Ireland - npj Dementia,https://www.nature.com/articles/s44400-025-00050-y,www.nature.com,5.05,6.2,4.88,4.95,5.49
Non-covalent assembly of multiple epitopes onto a single nanoparticle - Nature Biomedical Engineering,https://www.nature.com/articles/s41551-025-01530-5,www.nature.com,7.04,6.86,5.65,4.09,7.43
Ophthalmology in the Ebers Papyrus: a translation-based reassessment of ancient Egyptian eye remedies - Eye,https://www.nature.com/articles/s41433-025-03865-4,www.nature.com,6.73,6.33,5.77,5.83,7.34
Lowering the Mo limit for nitrogen fixation by Mo-nitrogenase - Communications Earth & Environment,https://www.nature.com/articles/s43247-026-03193-9,www.nature.com,6.42,6.04,4.47,5.99,6.91
The influence of retirement age on life expectancy based on analysis of OECD countries - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-026-06498-4,www.nature.com,7.07,6.55,5.93,5.02,5.63
"Pancreatic cancer: advances in immunology, translational analyses and therapeutic paradigms - Nature Reviews Gastroenterology & Hepatology",https://www.nature.com/articles/s41575-025-01170-9,www.nature.com,5.14,6.34,4.65,4.59,7.43
Twisted graphene puts magnetic fields in check - Nature Sensors,https://www.nature.com/articles/s44460-025-00023-x,www.nature.com,6.67,5.8,6.27,4.66,5.72
Machine learning models for crude protein prediction in Tamani grass pastures - Scientific Reports,https://www.nature.com/articles/s41598-026-36949-6,www.nature.com,5.96,4.97,4.61,5.95,7.06
"Endothelin-3 and T-type Ca2+ channels drive enteric neural crest cell calcium activity, contractility and migration - Nature Communications",https://www.nature.com/articles/s41467-025-68121-5,www.nature.com,4.8,6.67,4.98,5.22,7.66
Safety regulations for cloning and a compass that finds true north,https://www.nature.com/articles/d41586-025-03740-y,www.nature.com,6.61,5.94,5.45,6.59,5.73
